age,job,marital,education,default,balance,housing,loan,campaign,day,month,duration,y
56,entrepreneur,married,tertiary,no,1297,yes,no,1,16,may,180,no
21,admin.,single,secondary,no,325,yes,no,1,16,may,467,no
27,technician,married,tertiary,no,276,no,no,2,16,may,218,no
24,admin.,single,secondary,no,770,yes,no,1,16,may,233,no
25,technician,single,secondary,no,2,yes,yes,2,16,may,304,no
41,blue-collar,married,primary,no,208,yes,no,3,16,may,315,no
49,unemployed,divorced,secondary,no,495,yes,no,5,16,may,40,no
44,blue-collar,married,tertiary,no,2185,yes,no,1,16,may,698,no
42,blue-collar,married,secondary,no,351,yes,no,21,16,may,76,no
45,blue-collar,married,primary,no,71,yes,no,2,16,may,355,no
48,services,married,unknown,no,1155,yes,no,4,16,may,557,no
51,technician,married,secondary,no,349,yes,no,3,16,may,97,no
33,technician,married,secondary,no,153,yes,no,2,16,may,148,no
32,blue-collar,married,primary,no,244,yes,no,2,16,may,128,no
41,technician,married,secondary,no,493,yes,no,3,16,may,130,no
29,services,married,tertiary,no,62,yes,yes,2,16,may,280,no
49,technician,divorced,tertiary,no,874,yes,no,2,16,may,152,no
49,blue-collar,divorced,secondary,yes,259,no,no,2,16,may,283,no
25,admin.,single,secondary,no,304,no,no,3,16,may,523,no
33,blue-collar,single,secondary,no,371,yes,no,3,16,may,1128,no
50,blue-collar,married,primary,no,231,yes,no,4,16,may,171,no
50,admin.,married,secondary,no,1906,no,no,17,16,may,174,no
40,management,single,secondary,no,192,yes,no,11,16,may,71,no
32,blue-collar,married,primary,no,158,yes,no,4,16,may,84,no
43,blue-collar,divorced,primary,no,-57,yes,no,2,16,may,221,no
24,retired,single,secondary,no,366,no,yes,2,16,may,234,no
49,blue-collar,married,primary,no,327,yes,no,2,16,may,138,no
36,management,married,tertiary,no,1125,yes,yes,5,16,may,339,no
42,admin.,married,unknown,no,642,yes,yes,2,16,may,509,no
31,admin.,single,secondary,no,-48,yes,no,17,16,may,254,no
30,technician,single,secondary,no,298,yes,no,2,16,may,164,no
46,technician,married,tertiary,no,2207,yes,no,3,16,may,243,no
35,blue-collar,single,secondary,no,88,yes,no,4,16,may,344,no
44,admin.,married,secondary,no,2687,yes,no,4,16,may,131,no
33,management,married,tertiary,no,307,no,no,4,16,may,806,no
42,blue-collar,married,primary,yes,398,yes,no,4,16,may,251,no
39,services,single,secondary,no,-388,yes,no,2,16,may,1135,no
41,blue-collar,single,primary,no,1649,yes,no,3,16,may,312,no
58,blue-collar,married,secondary,no,886,no,no,4,16,may,302,no
40,blue-collar,married,secondary,no,1161,yes,yes,8,16,may,292,no
37,admin.,married,secondary,no,281,yes,no,2,16,may,279,no
45,blue-collar,married,primary,no,137,yes,yes,19,16,may,187,no
49,management,married,primary,no,267,yes,no,5,16,may,198,no
35,blue-collar,married,primary,no,767,yes,no,2,16,may,1408,no
28,blue-collar,single,secondary,no,1112,yes,no,2,16,may,827,no
32,technician,single,tertiary,no,192,yes,no,5,16,may,303,no
45,self-employed,married,secondary,no,1113,yes,no,2,16,may,67,no
44,technician,single,secondary,no,696,yes,no,3,16,may,680,no
55,blue-collar,married,primary,no,-268,yes,no,6,16,may,160,no
37,blue-collar,single,secondary,no,197,yes,no,3,16,may,251,no
28,services,single,secondary,no,317,yes,no,3,16,may,21,no
43,admin.,single,tertiary,no,329,yes,no,2,16,may,218,no
35,blue-collar,single,secondary,no,510,yes,no,6,16,may,81,no
30,management,single,tertiary,no,5,no,no,3,16,may,476,no
54,management,single,tertiary,no,4393,yes,no,3,16,may,1297,yes
34,management,divorced,tertiary,no,488,yes,no,2,16,may,4,no
30,services,single,secondary,no,442,yes,no,3,16,may,283,no
46,unknown,married,unknown,no,300,yes,no,3,16,may,323,no
52,blue-collar,married,primary,no,1007,yes,no,2,16,may,248,no
44,blue-collar,married,primary,no,195,yes,no,5,16,may,541,no
36,blue-collar,married,secondary,no,513,yes,no,3,16,may,427,no
44,technician,divorced,secondary,no,399,yes,no,9,16,may,148,no
44,blue-collar,married,primary,no,12,yes,no,10,16,may,408,no
24,blue-collar,single,secondary,no,77,yes,no,2,16,may,236,no
56,blue-collar,married,primary,no,8318,yes,no,2,16,may,428,no
41,blue-collar,divorced,secondary,no,-104,yes,no,3,16,may,32,no
51,technician,married,tertiary,no,0,yes,no,19,16,may,330,no
53,blue-collar,married,secondary,no,2,yes,no,2,16,may,851,no
41,blue-collar,single,primary,no,0,yes,no,5,16,may,522,no
26,blue-collar,single,primary,no,-579,yes,no,3,16,may,320,no
53,entrepreneur,married,tertiary,no,2884,yes,no,4,16,may,165,no
30,technician,single,secondary,no,863,yes,no,5,16,may,1193,yes
27,admin.,single,unknown,no,56,yes,no,2,16,may,730,no
32,services,single,secondary,no,358,yes,no,3,16,may,1144,no
40,blue-collar,married,secondary,no,0,yes,no,2,16,may,167,no
55,technician,married,secondary,no,2055,yes,no,4,16,may,1023,no
35,services,single,secondary,no,568,yes,no,2,16,may,469,no
32,management,single,secondary,no,0,yes,yes,7,16,may,385,no
57,blue-collar,married,unknown,no,97,yes,no,6,16,may,260,no
32,blue-collar,married,primary,no,217,yes,no,3,16,may,169,no
55,unknown,married,tertiary,no,0,no,no,3,16,may,409,no
43,services,married,secondary,no,3608,yes,no,6,16,may,165,no
42,blue-collar,married,secondary,no,388,yes,yes,2,16,may,437,no
27,management,single,tertiary,yes,0,yes,no,2,16,may,89,no
36,services,married,secondary,no,279,no,no,6,16,may,261,no
32,admin.,married,secondary,no,193,yes,no,4,16,may,294,no
53,technician,divorced,secondary,no,751,yes,no,4,16,may,343,no
34,blue-collar,married,secondary,no,305,yes,no,25,16,may,1245,no
23,blue-collar,single,secondary,no,105,yes,no,2,16,may,498,no
31,management,single,tertiary,no,548,yes,no,4,16,may,148,no
46,services,married,secondary,no,271,yes,no,4,16,may,134,no
31,services,married,secondary,no,246,yes,no,2,16,may,230,no
42,self-employed,married,tertiary,no,1932,yes,no,32,16,may,192,no
52,self-employed,married,secondary,no,1066,yes,no,3,16,may,65,no
38,blue-collar,married,primary,no,-326,yes,no,3,16,may,237,no
38,blue-collar,single,primary,no,1465,yes,no,2,16,may,239,no
60,unemployed,married,primary,no,26,yes,no,6,16,may,196,no
42,management,single,tertiary,no,10561,no,no,2,16,may,243,no
30,blue-collar,married,secondary,no,68,yes,yes,2,16,may,393,no
53,technician,divorced,tertiary,no,647,yes,no,6,16,may,512,no
35,admin.,single,secondary,no,368,yes,no,3,16,may,218,no
45,admin.,married,secondary,no,-183,yes,no,3,16,may,215,no
57,retired,married,primary,no,70,yes,yes,5,16,may,186,no
41,technician,married,primary,no,141,yes,no,4,16,may,299,no
44,blue-collar,married,primary,no,75,no,no,3,16,may,107,no
56,blue-collar,married,unknown,no,22,yes,no,7,16,may,103,no
46,services,married,secondary,no,9,no,no,4,16,may,297,no
34,blue-collar,married,primary,no,695,yes,yes,4,16,may,1064,yes
51,blue-collar,divorced,primary,no,83,yes,no,4,16,may,24,no
27,services,single,secondary,no,-20,no,no,6,16,may,757,no
31,self-employed,single,secondary,no,532,yes,no,7,16,may,90,no
51,management,married,tertiary,no,0,yes,no,5,16,may,59,no
25,management,single,tertiary,no,99,yes,yes,4,16,may,102,no
48,management,married,unknown,no,54,yes,no,7,16,may,293,no
37,management,single,secondary,no,792,yes,no,4,16,may,1187,yes
35,blue-collar,married,primary,no,378,yes,no,3,16,may,427,no
58,self-employed,married,tertiary,no,8014,yes,no,3,19,may,65,no
47,blue-collar,married,unknown,no,584,yes,no,19,19,may,79,no
58,retired,married,primary,no,331,yes,no,4,19,may,145,no
36,management,married,secondary,no,122,yes,no,7,19,may,39,no
38,blue-collar,married,secondary,no,660,yes,yes,2,19,may,105,no
27,admin.,single,secondary,no,276,yes,no,2,19,may,311,no
44,blue-collar,married,primary,no,-14,yes,yes,4,19,may,179,no
47,blue-collar,single,secondary,no,15,yes,no,2,19,may,62,no
26,admin.,single,secondary,no,-326,yes,no,3,19,may,128,no
29,services,single,secondary,no,2099,yes,yes,2,19,may,171,no
60,management,divorced,tertiary,no,2589,yes,no,2,19,may,134,no
37,entrepreneur,single,secondary,no,654,no,no,2,19,may,594,no
35,blue-collar,married,secondary,no,474,yes,no,3,19,may,55,no
44,blue-collar,married,secondary,no,294,yes,no,2,19,may,66,no
50,management,divorced,primary,no,-6,yes,no,2,19,may,92,no
41,blue-collar,married,primary,no,865,no,yes,5,19,may,19,no
26,technician,divorced,secondary,no,379,yes,yes,3,19,may,501,no
43,management,married,primary,no,8167,yes,no,2,19,may,114,no
46,management,married,primary,no,357,yes,yes,2,19,may,221,no
54,services,married,secondary,no,2431,yes,no,4,19,may,221,no
46,blue-collar,married,tertiary,no,1497,yes,no,6,19,may,374,no
46,blue-collar,married,primary,no,7934,yes,no,1,19,may,123,no
55,blue-collar,married,secondary,no,1261,no,no,1,19,may,166,no
45,blue-collar,married,secondary,no,1124,yes,no,1,19,may,37,no
58,retired,married,primary,no,196,yes,no,1,19,may,35,no
48,unemployed,married,tertiary,no,-471,yes,no,7,19,may,668,no
38,services,married,secondary,no,497,yes,yes,5,19,may,88,no
57,services,divorced,primary,no,1920,no,no,2,19,may,77,no
54,blue-collar,divorced,primary,no,8180,no,no,1,19,may,312,no
40,management,single,tertiary,no,2784,yes,no,1,19,may,181,no
44,services,married,secondary,no,556,no,no,3,19,may,134,no
55,technician,married,secondary,no,517,yes,yes,4,19,may,61,no
40,blue-collar,single,unknown,no,-154,yes,yes,1,19,may,258,no
42,management,divorced,tertiary,no,0,no,no,2,19,may,131,no
48,technician,married,secondary,no,522,yes,no,1,19,may,71,no
52,admin.,divorced,secondary,no,-342,no,no,1,19,may,153,no
31,blue-collar,married,secondary,no,43,yes,no,3,19,may,405,no
60,admin.,married,secondary,no,12210,yes,no,1,19,may,256,no
51,services,married,primary,no,8806,yes,no,1,19,may,131,no
50,blue-collar,divorced,secondary,no,2402,yes,no,1,19,may,219,no
44,entrepreneur,married,secondary,yes,-848,yes,no,1,19,may,468,no
33,admin.,married,secondary,no,0,no,no,2,19,may,326,no
43,technician,married,secondary,no,674,yes,yes,1,19,may,412,no
46,services,divorced,secondary,no,778,yes,no,1,19,may,579,no
43,services,married,secondary,no,384,yes,yes,3,19,may,277,no
50,services,divorced,secondary,no,256,yes,no,2,19,may,316,no
41,admin.,single,secondary,no,1020,yes,no,1,19,may,882,yes
50,services,married,secondary,no,1463,yes,no,1,19,may,380,no
50,services,divorced,secondary,no,761,yes,no,1,19,may,169,no
40,admin.,married,secondary,no,1380,yes,no,1,19,may,127,no
30,blue-collar,single,primary,no,71,yes,no,6,19,may,122,no
44,admin.,married,secondary,yes,-1249,yes,yes,4,19,may,83,no
51,technician,single,secondary,no,4089,yes,no,1,19,may,318,no
40,blue-collar,married,primary,no,3736,yes,no,3,19,may,29,no
38,blue-collar,married,primary,no,2407,yes,no,1,19,may,218,no
52,technician,married,secondary,no,1781,yes,no,2,19,may,144,no
49,technician,married,secondary,no,4667,yes,no,2,19,may,130,no
44,admin.,divorced,secondary,no,2,yes,no,1,19,may,429,no
39,admin.,married,tertiary,no,259,yes,no,1,19,may,27,no
43,admin.,single,secondary,no,445,yes,no,2,19,may,546,no
32,services,married,secondary,no,132,yes,yes,2,19,may,343,no
55,management,divorced,unknown,no,2,yes,no,1,19,may,95,no
55,services,married,secondary,no,283,yes,no,1,19,may,156,no
42,management,divorced,secondary,no,830,yes,no,1,19,may,112,no
26,technician,single,tertiary,no,75,yes,yes,1,19,may,351,no
54,services,married,secondary,no,158,yes,no,1,19,may,198,no
34,blue-collar,married,primary,no,46,yes,yes,1,19,may,165,no
46,management,married,tertiary,no,4301,yes,yes,2,19,may,134,no
25,blue-collar,single,secondary,no,815,yes,no,6,19,may,268,no
49,management,married,tertiary,no,128,yes,no,1,19,may,298,no
59,blue-collar,divorced,primary,no,457,yes,no,1,19,may,63,no
57,management,married,primary,no,0,no,no,1,19,may,455,no
27,technician,married,secondary,no,374,yes,no,2,19,may,188,no
38,services,married,secondary,no,3259,yes,no,1,19,may,241,no
41,services,divorced,secondary,no,-19,yes,no,1,19,may,201,no
56,blue-collar,married,secondary,no,316,yes,no,1,19,may,27,no
37,blue-collar,married,secondary,no,398,yes,no,1,19,may,206,no
32,unemployed,married,secondary,no,2996,yes,no,1,19,may,68,no
47,admin.,married,secondary,no,292,yes,no,3,19,may,82,no
57,management,married,tertiary,no,5431,yes,no,2,19,may,97,no
38,services,single,tertiary,no,323,yes,no,1,19,may,138,no
30,blue-collar,married,secondary,no,1312,yes,no,2,19,may,285,no
43,blue-collar,married,primary,no,953,yes,no,1,19,may,135,no
35,blue-collar,single,secondary,no,5,no,no,3,19,may,268,no
28,technician,single,secondary,no,213,yes,no,1,19,may,267,no
38,admin.,married,secondary,no,976,yes,yes,2,19,may,382,no
45,blue-collar,married,primary,no,970,yes,no,5,19,may,208,no
31,technician,single,secondary,no,87,yes,no,3,19,may,259,no
38,technician,married,secondary,no,59,yes,no,1,19,may,18,no
28,student,single,tertiary,no,80,yes,no,1,19,may,234,no
40,unemployed,married,primary,no,3444,yes,no,4,19,may,792,no
30,blue-collar,married,secondary,no,12697,yes,yes,1,19,may,95,no
47,blue-collar,married,secondary,no,863,yes,no,2,19,may,943,yes
27,management,single,tertiary,yes,0,yes,no,1,19,may,352,no
30,technician,single,secondary,no,18,no,no,1,19,may,798,no
53,services,married,secondary,no,33,yes,no,12,19,may,84,no
48,blue-collar,married,primary,no,281,yes,no,3,19,may,100,no
35,technician,single,secondary,no,-206,yes,no,4,19,may,85,no
38,services,single,secondary,no,36,yes,no,1,19,may,143,no
32,technician,married,unknown,no,1879,no,no,1,19,may,115,no
53,blue-collar,married,primary,no,10,yes,no,1,19,may,73,no
25,blue-collar,married,secondary,no,77,yes,no,1,19,may,31,no
45,entrepreneur,married,tertiary,no,369,yes,no,2,19,may,182,no
28,blue-collar,single,secondary,no,43,no,no,1,19,may,190,no
30,blue-collar,married,primary,no,392,yes,no,1,19,may,351,no
31,admin.,single,secondary,no,0,no,no,1,19,may,179,no
42,housemaid,married,primary,no,14752,no,no,2,19,may,107,no
60,admin.,married,unknown,no,738,no,no,3,19,may,529,no
28,student,single,tertiary,no,836,yes,no,1,19,may,36,no
46,blue-collar,single,primary,no,2851,yes,no,2,19,may,122,no
40,technician,married,tertiary,no,296,no,no,1,19,may,198,no
32,blue-collar,married,primary,no,1076,yes,no,1,19,may,67,no
56,blue-collar,married,secondary,no,25,yes,no,1,19,may,264,no
20,blue-collar,married,primary,no,-172,yes,yes,3,19,may,238,no
41,services,single,secondary,no,197,yes,no,1,19,may,112,no
48,blue-collar,married,secondary,no,5057,yes,no,2,19,may,21,no
49,blue-collar,married,primary,no,284,yes,no,1,19,may,81,no
29,blue-collar,single,tertiary,no,1012,yes,no,3,19,may,496,no
57,admin.,divorced,secondary,no,4378,yes,no,3,19,may,78,no
49,technician,married,secondary,no,2718,no,no,2,19,may,114,no
42,entrepreneur,single,primary,no,103,yes,no,5,19,may,156,no
28,blue-collar,married,secondary,no,1827,yes,no,2,19,may,211,no
31,blue-collar,married,secondary,no,41,yes,no,1,19,may,265,no
26,blue-collar,married,secondary,no,484,yes,no,2,19,may,48,no
29,services,single,secondary,no,146,yes,no,2,19,may,104,no
26,technician,single,secondary,no,3,yes,no,1,19,may,610,no
31,blue-collar,single,secondary,no,259,yes,no,1,19,may,287,no
38,entrepreneur,married,secondary,no,830,yes,no,2,19,may,68,no
45,services,divorced,primary,no,242,yes,no,1,19,may,336,no
24,blue-collar,single,secondary,no,0,yes,no,1,19,may,202,no
31,admin.,single,secondary,no,6042,yes,no,1,19,may,228,no
40,blue-collar,married,secondary,no,-341,yes,no,1,19,may,192,no
34,services,divorced,secondary,no,221,yes,no,1,19,may,343,no
24,technician,single,secondary,no,-46,yes,no,1,19,may,23,no
26,blue-collar,single,secondary,no,-5,no,no,1,19,may,260,no
29,management,single,tertiary,no,617,yes,no,1,19,may,387,no
30,management,married,tertiary,no,134,yes,no,1,19,may,70,no
61,blue-collar,married,primary,no,625,yes,no,2,19,may,158,no
26,management,married,tertiary,no,775,no,no,3,19,may,35,no
31,technician,single,tertiary,no,221,yes,no,3,19,may,145,no
28,technician,single,tertiary,no,-31,yes,no,1,19,may,257,no
31,admin.,married,secondary,no,97,yes,no,1,19,may,607,yes
52,entrepreneur,divorced,tertiary,no,81,yes,no,3,19,may,214,no
30,blue-collar,single,secondary,no,16,yes,no,5,19,may,127,no
32,services,married,secondary,no,144,yes,no,11,19,may,260,no
38,management,single,tertiary,no,889,no,no,4,19,may,197,no
40,blue-collar,married,secondary,no,-481,yes,yes,2,19,may,174,no
38,entrepreneur,married,secondary,no,680,yes,no,2,19,may,144,no
54,blue-collar,married,secondary,no,-754,yes,no,2,19,may,222,no
42,services,married,secondary,no,2993,yes,no,2,19,may,136,no
34,technician,divorced,tertiary,no,501,yes,no,12,19,may,546,no
42,management,married,tertiary,no,365,yes,no,2,19,may,49,no
54,retired,divorced,primary,no,477,yes,no,4,19,may,335,no
27,blue-collar,married,secondary,no,72,yes,no,1,19,may,105,no
31,blue-collar,married,primary,no,2085,yes,yes,3,19,may,488,no
34,technician,single,secondary,no,705,yes,yes,3,19,may,1203,no
31,blue-collar,married,secondary,no,754,yes,no,4,19,may,1022,yes
27,technician,married,secondary,no,512,yes,no,1,19,may,128,no
25,blue-collar,married,secondary,no,300,yes,yes,3,19,may,126,no
20,student,single,secondary,no,67,yes,no,1,19,may,387,no
54,admin.,divorced,secondary,no,912,yes,no,1,19,may,258,no
30,blue-collar,single,unknown,no,0,yes,no,1,19,may,199,no
33,blue-collar,married,secondary,no,86,yes,no,1,19,may,364,no
22,blue-collar,single,secondary,no,0,yes,no,1,19,may,123,no
36,blue-collar,married,unknown,no,79,yes,no,14,19,may,201,no
44,blue-collar,married,secondary,no,87,yes,no,3,19,may,193,no
43,management,married,secondary,no,3196,yes,yes,3,19,may,159,no
44,retired,married,secondary,no,181,yes,no,6,19,may,131,no
49,management,single,tertiary,no,354,yes,no,3,19,may,166,no
27,entrepreneur,married,secondary,no,220,yes,no,1,19,may,480,no
45,blue-collar,married,primary,no,2128,yes,no,4,19,may,149,no
41,management,married,tertiary,no,4357,yes,no,1,19,may,110,no
28,entrepreneur,single,unknown,no,1306,yes,no,3,19,may,396,no
51,technician,married,unknown,no,425,yes,no,3,19,may,124,no
49,management,married,tertiary,no,68,yes,yes,3,19,may,163,no
42,unemployed,married,secondary,no,1990,yes,yes,1,19,may,13,no
55,technician,married,secondary,no,978,yes,no,1,19,may,259,no
41,technician,single,secondary,no,0,yes,yes,1,19,may,162,no
51,management,single,tertiary,no,824,no,no,2,19,may,102,no
46,blue-collar,married,secondary,no,679,yes,no,1,19,may,723,no
41,blue-collar,married,primary,no,262,yes,no,1,19,may,89,no
32,blue-collar,divorced,secondary,no,86,no,yes,1,19,may,703,no
43,technician,single,tertiary,no,1017,yes,no,2,19,may,257,no
48,blue-collar,married,primary,no,456,yes,yes,1,19,may,289,no
52,self-employed,married,secondary,no,6353,yes,yes,2,19,may,361,no
29,technician,single,secondary,no,103,no,no,1,19,may,314,no
51,admin.,divorced,secondary,no,467,yes,no,1,19,may,83,no
48,blue-collar,married,secondary,no,841,yes,no,1,19,may,215,no
34,services,married,secondary,no,0,yes,no,4,19,may,115,no
52,admin.,single,secondary,no,-346,yes,yes,3,19,may,147,no
31,self-employed,married,secondary,no,157,yes,no,1,19,may,285,no
41,technician,married,secondary,no,459,yes,no,1,19,may,102,no
40,services,single,secondary,no,464,yes,yes,7,19,may,183,no
51,services,married,secondary,no,2085,yes,no,1,19,may,70,no
42,blue-collar,married,unknown,no,1323,yes,no,1,19,may,19,no
31,blue-collar,single,secondary,no,75,yes,no,1,19,may,346,no
34,blue-collar,married,primary,no,-288,yes,no,1,19,may,643,no
41,self-employed,married,secondary,no,713,yes,no,1,19,may,78,no
43,blue-collar,married,secondary,no,1071,yes,no,1,19,may,411,no
54,blue-collar,married,secondary,no,887,yes,no,1,19,may,133,no
47,services,married,secondary,no,-288,no,no,6,19,may,193,no
41,blue-collar,married,primary,no,3722,yes,no,2,19,may,590,no
40,management,married,tertiary,no,3,yes,yes,1,19,may,151,no
23,management,single,secondary,no,85,yes,no,2,19,may,109,no
48,blue-collar,married,primary,no,6489,yes,no,1,19,may,263,no
36,admin.,single,secondary,no,3457,no,no,4,19,may,103,no
44,management,divorced,tertiary,no,409,yes,no,1,19,may,333,no
31,admin.,single,secondary,no,396,yes,no,1,19,may,104,no
32,blue-collar,married,secondary,no,101,yes,no,4,19,may,191,no
49,blue-collar,married,secondary,no,402,yes,no,1,19,may,571,no
23,blue-collar,single,secondary,no,525,yes,no,1,19,may,180,no
41,admin.,married,secondary,no,3855,yes,no,2,19,may,657,no
52,blue-collar,married,secondary,no,157,yes,yes,2,19,may,107,no
41,management,married,tertiary,no,1897,yes,no,3,19,may,335,no
22,blue-collar,married,secondary,no,36,yes,no,3,19,may,120,no
60,blue-collar,married,secondary,no,171,yes,no,2,19,may,219,no
60,technician,married,unknown,no,148,yes,no,1,19,may,148,no
35,technician,married,unknown,no,208,yes,no,1,19,may,214,no
49,blue-collar,married,primary,no,1536,yes,no,2,19,may,400,no
32,blue-collar,single,secondary,no,476,yes,yes,2,19,may,503,no
45,blue-collar,married,secondary,no,42,yes,no,5,19,may,125,no
29,management,single,tertiary,no,-233,yes,no,1,19,may,329,no
45,management,married,tertiary,no,1540,yes,no,3,19,may,194,no
28,management,single,tertiary,no,3238,yes,no,1,19,may,7,no
21,student,single,unknown,no,210,yes,no,1,19,may,53,no
31,services,single,secondary,no,1629,yes,no,2,19,may,344,no
27,admin.,divorced,secondary,no,112,yes,no,1,19,may,104,no
43,services,divorced,secondary,no,1040,yes,no,3,19,may,552,yes
24,blue-collar,single,unknown,no,76,yes,no,1,19,may,345,no
28,blue-collar,single,secondary,no,362,yes,no,1,19,may,263,no
42,management,divorced,tertiary,no,1116,yes,no,6,19,may,88,no
40,blue-collar,married,secondary,no,-365,yes,no,43,19,may,44,no
42,services,married,primary,no,2567,yes,no,2,19,may,401,no
31,blue-collar,single,secondary,no,19,yes,no,5,19,may,178,no
47,blue-collar,married,primary,no,146,yes,yes,5,19,may,53,no
40,blue-collar,divorced,secondary,no,125,yes,no,2,19,may,349,no
31,admin.,divorced,secondary,no,47,yes,no,9,19,may,34,no
26,blue-collar,divorced,secondary,no,0,yes,no,3,19,may,48,no
52,admin.,single,primary,no,0,no,no,11,19,may,182,no
31,blue-collar,single,tertiary,no,462,yes,yes,1,19,may,147,no
44,management,married,tertiary,no,4087,yes,no,5,19,may,457,no
27,technician,single,secondary,no,16,no,no,1,19,may,193,no
41,blue-collar,married,unknown,no,665,yes,no,3,19,may,142,no
28,management,single,secondary,no,471,yes,yes,2,19,may,123,no
27,blue-collar,married,secondary,no,613,yes,no,3,19,may,65,no
34,admin.,married,secondary,no,645,yes,no,1,19,may,420,no
44,blue-collar,married,secondary,no,1087,yes,no,2,19,may,100,no
36,blue-collar,married,primary,no,2079,yes,yes,2,19,may,403,no
37,technician,married,secondary,no,1633,yes,no,3,19,may,229,no
27,technician,single,primary,no,1022,yes,no,2,19,may,445,no
32,blue-collar,single,secondary,no,1211,yes,no,4,19,may,206,no
31,blue-collar,married,secondary,no,9714,yes,no,2,19,may,182,no
51,management,married,tertiary,no,642,no,no,2,19,may,183,no
47,technician,divorced,secondary,no,1851,yes,no,2,19,may,140,no
23,student,single,secondary,no,405,yes,no,3,19,may,134,no
30,management,single,tertiary,no,358,yes,no,51,19,may,88,no
50,blue-collar,married,secondary,no,170,yes,yes,13,19,may,234,no
52,services,married,secondary,no,2420,yes,no,3,19,may,215,no
34,blue-collar,single,secondary,no,1484,yes,no,5,19,may,194,no
28,entrepreneur,married,secondary,no,422,yes,no,2,19,may,394,no
28,admin.,single,secondary,no,350,yes,yes,2,19,may,5,no
57,retired,married,secondary,no,919,yes,yes,2,19,may,408,no
31,management,single,tertiary,no,444,yes,no,2,19,may,114,no
35,management,married,tertiary,no,1253,yes,no,2,19,may,210,no
49,entrepreneur,married,tertiary,no,320,yes,yes,6,19,may,243,no
32,services,married,secondary,no,1066,yes,no,9,19,may,180,no
28,services,married,unknown,no,-134,yes,no,2,19,may,8,no
51,management,single,tertiary,no,1146,yes,yes,4,19,may,458,no
32,blue-collar,married,primary,no,424,yes,no,2,19,may,313,no
37,management,divorced,tertiary,no,122,yes,no,2,19,may,1622,yes
55,blue-collar,married,secondary,no,212,yes,no,2,19,may,324,no
27,blue-collar,single,secondary,no,5,yes,no,3,19,may,205,no
49,management,single,tertiary,no,580,no,no,2,19,may,310,no
22,blue-collar,single,secondary,no,3992,yes,yes,2,19,may,194,no
36,technician,divorced,secondary,no,141,yes,no,5,19,may,165,no
46,management,divorced,secondary,no,361,yes,no,7,19,may,86,no
57,blue-collar,married,secondary,no,8195,yes,no,2,19,may,160,no
55,admin.,divorced,secondary,no,3524,yes,no,6,19,may,492,no
34,blue-collar,married,secondary,no,1710,yes,yes,3,19,may,187,no
44,technician,married,primary,no,177,yes,no,4,19,may,197,no
45,management,married,tertiary,no,199,no,no,5,19,may,95,no
30,blue-collar,married,secondary,no,0,no,no,3,19,may,159,no
30,technician,single,tertiary,no,880,yes,yes,6,19,may,967,yes
45,blue-collar,married,secondary,no,771,yes,no,2,19,may,221,no
34,blue-collar,divorced,secondary,no,164,yes,no,13,19,may,102,no
41,technician,married,secondary,no,501,yes,no,5,19,may,579,yes
45,management,married,unknown,no,9051,yes,no,63,19,may,124,no
46,technician,divorced,unknown,no,103,no,no,5,19,may,158,no
37,management,married,tertiary,no,89,yes,no,10,19,may,162,no
45,blue-collar,married,secondary,no,4111,yes,no,2,19,may,211,no
42,blue-collar,married,primary,no,170,yes,no,41,19,may,51,no
49,blue-collar,married,secondary,no,1854,yes,no,5,19,may,173,no
54,blue-collar,married,secondary,no,233,yes,no,3,19,may,220,no
60,retired,married,secondary,no,819,yes,no,2,19,may,110,no
24,admin.,single,secondary,no,1019,yes,no,26,19,may,99,no
43,blue-collar,married,primary,no,1147,yes,yes,7,19,may,112,no
49,technician,married,tertiary,no,279,yes,no,4,19,may,168,no
45,blue-collar,married,unknown,no,1263,yes,no,3,19,may,283,no
54,technician,divorced,secondary,no,7449,yes,no,7,19,may,235,no
39,management,married,tertiary,no,198,yes,no,8,19,may,138,no
23,technician,single,unknown,no,710,yes,no,6,19,may,374,no
48,services,divorced,secondary,no,858,yes,no,4,19,may,353,no
38,admin.,married,secondary,no,1344,yes,yes,2,19,may,147,no
44,self-employed,single,tertiary,no,149,yes,no,10,19,may,332,no
53,management,single,primary,no,208,yes,no,9,19,may,179,no
28,blue-collar,married,secondary,no,224,yes,no,5,19,may,571,no
38,management,single,tertiary,no,91,yes,no,9,19,may,492,no
27,blue-collar,single,secondary,yes,-3,yes,no,5,19,may,265,no
25,blue-collar,married,secondary,no,316,yes,yes,2,19,may,360,no
35,admin.,married,secondary,no,846,yes,yes,2,19,may,175,no
31,blue-collar,married,primary,no,352,yes,no,9,19,may,97,no
40,blue-collar,married,primary,no,-22,yes,no,3,19,may,84,no
27,services,single,secondary,no,4923,yes,no,7,19,may,57,no
53,admin.,married,tertiary,yes,6,no,no,11,19,may,105,no
32,management,divorced,tertiary,no,312,yes,yes,3,19,may,886,no
37,technician,single,secondary,no,61,yes,no,8,19,may,182,no
37,blue-collar,married,primary,no,53,yes,no,4,19,may,467,no
47,blue-collar,married,unknown,no,-345,yes,no,14,19,may,18,no
36,management,divorced,tertiary,no,0,yes,no,11,19,may,21,no
52,blue-collar,married,secondary,no,2231,yes,yes,4,19,may,470,no
52,services,married,unknown,no,337,yes,no,3,19,may,85,no
50,technician,married,unknown,no,413,yes,no,2,19,may,243,no
